0.0	0.0	0.0	0
-2.3600843	2.9652188	8.805275	214
-2.3349452	2.7497406	8.561067	151
-2.308609	2.903568	8.902839	179
-1.6693572	2.4785974	8.810662	187
-1.4628572	1.6986861	9.19134	172
-0.59855044	0.09636662	9.197925	180
2.4600422	-2.8580782	11.484387	179
0.52732295	0.8822633	7.536947	180
-0.8523358	7.61835	2.3253684	180
-1.5191209	6.8749504	3.5895069	179
-0.28311434	1.8908207	9.205107	180
0.24779987	-2.7030537	11.990162	179
-0.58119243	-0.6871359	10.454881	180
-1.5945383	3.4272997	6.2746043	180
-4.353257	3.6355953	9.162011	179
-2.9987376	3.0101101	8.29531	180
-2.3427265	2.6120741	8.823831	180
-2.669535	2.7844565	8.292317	180
-2.2750902	2.4762032	9.304466	178
-2.767697	2.7970262	8.72507	180
